X,CH1,
Second,Volt,
-1.6383600e-01,8.00000e-04,
-1.6381600e-01,1.60000e-03,
-1.6379601e-01,1.60000e-03,
-1.6377600e-01,8.00000e-04,
-1.6375600e-01,8.00000e-04,
-1.6373600e-01,1.60000e-03,
-1.6371600e-01,1.60000e-03,
-1.6369601e-01,8.00000e-04,
-1.6367601e-01,8.00000e-04,
-1.6365600e-01,1.60000e-03,
-1.6363600e-01,1.60000e-03,
-1.6361600e-01,8.00000e-04,
-1.6359600e-01,8.00000e-04,
-1.6357601e-01,1.60000e-03,
-1.6355601e-01,1.60000e-03,
-1.6353600e-01,8.00000e-04,
-1.6351600e-01,8.00000e-04,
-1.6349600e-01,1.60000e-03,
-1.6347601e-01,1.60000e-03,
-1.6345601e-01,8.00000e-04,
-1.6343600e-01,8.00000e-04,
-1.6341600e-01,1.60000e-03,
-1.6339600e-01,1.60000e-03,
-1.6337600e-01,8.00000e-04,
-1.6335601e-01,8.00000e-04,
-1.6333601e-01,1.60000e-03,
-1.6331600e-01,1.60000e-03,
-1.6329600e-01,8.00000e-04,
-1.6327600e-01,8.00000e-04,
-1.6325600e-01,1.60000e-03,
-1.6323601e-01,1.60000e-03,
-1.6321601e-01,8.00000e-04,
-1.6319600e-01,8.00000e-04,
-1.6317600e-01,1.60000e-03,
-1.6315600e-01,1.60000e-03,
-1.6313601e-01,1.60000e-03,
-1.6311601e-01,1.60000e-03,
-1.6309600e-01,1.60000e-03,
-1.6307600e-01,8.00000e-04,
-1.6305600e-01,1.60000e-03,
-1.6303600e-01,1.60000e-03,
-1.6301601e-01,1.60000e-03,
-1.6299601e-01,8.00000e-04,
-1.6297600e-01,1.60000e-03,
-1.6295600e-01,1.60000e-03,
-1.6293600e-01,1.60000e-03,
-1.6291600e-01,8.00000e-04,
-1.6289601e-01,1.60000e-03,
-1.6287600e-01,1.60000e-03,
-1.6285600e-01,1.60000e-03,
-1.6283600e-01,1.60000e-03,
-1.6281600e-01,8.00000e-04,
-1.6279601e-01,1.60000e-03,
-1.6277601e-01,1.60000e-03,
-1.6275600e-01,1.60000e-03,
-1.6273600e-01,1.60000e-03,
-1.6271600e-01,1.60000e-03,
-1.6269600e-01,1.60000e-03,
-1.6267601e-01,1.60000e-03,
-1.6265601e-01,1.60000e-03,
-1.6263600e-01,1.60000e-03,
-1.6261600e-01,1.60000e-03,
-1.6259600e-01,1.60000e-03,
-1.6257600e-01,1.60000e-03,
-1.6255601e-01,1.60000e-03,
-1.6253600e-01,1.60000e-03,
-1.6251600e-01,1.60000e-03,
-1.6249600e-01,1.60000e-03,
-1.6247600e-01,1.60000e-03,
-1.6245601e-01,1.60000e-03,
-1.6243601e-01,1.60000e-03,
-1.6241600e-01,1.60000e-03,
-1.6239600e-01,1.60000e-03,
-1.6237600e-01,1.60000e-03,
-1.6235600e-01,1.60000e-03,
-1.6233601e-01,8.00000e-04,
-1.6231601e-01,1.60000e-03,
-1.6229600e-01,1.60000e-03,
-1.6227600e-01,1.60000e-03,
-1.6225600e-01,8.00000e-04,
-1.6223601e-01,1.60000e-03,
-1.6221601e-01,8.00000e-04,
-1.6219600e-01,1.60000e-03,
-1.6217600e-01,8.00000e-04,
-1.6215600e-01,8.00000e-04,
-1.6213600e-01,1.60000e-03,
-1.6211601e-01,1.60000e-03,
-1.6209601e-01,1.60000e-03,
-1.6207600e-01,1.60000e-03,
-1.6205600e-01,1.60000e-03,
-1.6203600e-01,8.00000e-04,
-1.6201600e-01,8.00000e-04,
-1.6199601e-01,8.00000e-04,
-1.6197601e-01,8.00000e-04,
-1.6195600e-01,8.00000e-04,
-1.6193600e-01,8.00000e-04,
-1.6191600e-01,8.00000e-04,
-1.6189601e-01,1.60000e-03,
-1.6187601e-01,1.60000e-03,
-1.6185600e-01,1.60000e-03,
-1.6183600e-01,1.60000e-03,
-1.6181600e-01,1.60000e-03,
-1.6179600e-01,8.00000e-04,
-1.6177601e-01,1.60000e-03,
-1.6175601e-01,1.60000e-03,
-1.6173600e-01,1.60000e-03,
-1.6171600e-01,1.60000e-03,
-1.6169600e-01,1.60000e-03,
-1.6167600e-01,1.60000e-03,
-1.6165601e-01,8.00000e-04,
-1.6163601e-01,1.60000e-03,
-1.6161600e-01,1.60000e-03,
-1.6159600e-01,1.60000e-03,
-1.6157600e-01,1.60000e-03,
-1.6155601e-01,1.60000e-03,
-1.6153601e-01,1.60000e-03,
-1.6151600e-01,8.00000e-04,
-1.6149600e-01,1.60000e-03,
-1.6147600e-01,1.60000e-03,
-1.6145600e-01,2.40000e-03,
-1.6143601e-01,1.60000e-03,
-1.6141601e-01,1.60000e-03,
-1.6139600e-01,2.40000e-03,
-1.6137600e-01,1.60000e-03,
-1.6135600e-01,1.60000e-03,
-1.6133600e-01,1.60000e-03,
-1.6131601e-01,1.60000e-03,
-1.6129600e-01,1.60000e-03,
-1.6127600e-01,1.60000e-03,
-1.6125600e-01,8.00000e-04,
-1.6123600e-01,1.60000e-03,
-1.6121601e-01,1.60000e-03,
-1.6119601e-01,1.60000e-03,
-1.6117600e-01,1.60000e-03,
-1.6115600e-01,1.60000e-03,
-1.6113600e-01,1.60000e-03,
-1.6111600e-01,1.60000e-03,
-1.6109601e-01,1.60000e-03,
-1.6107601e-01,1.60000e-03,
-1.6105600e-01,1.60000e-03,
-1.6103600e-01,8.00000e-04,
-1.6101600e-01,1.60000e-03,
-1.6099600e-01,8.00000e-04,
-1.6097601e-01,1.60000e-03,
-1.6095600e-01,8.00000e-04,
-1.6093600e-01,1.60000e-03,
-1.6091600e-01,8.00000e-04,
-1.6089600e-01,1.60000e-03,
-1.6087601e-01,1.60000e-03,
-1.6085601e-01,1.60000e-03,
-1.6083600e-01,1.60000e-03,
-1.6081600e-01,1.60000e-03,
-1.6079600e-01,1.60000e-03,
-1.6077600e-01,8.00000e-04,
-1.6075601e-01,1.60000e-03,
-1.6073601e-01,8.00000e-04,
-1.6071600e-01,1.60000e-03,
-1.6069600e-01,1.60000e-03,
-1.6067600e-01,1.60000e-03,
-1.6065601e-01,1.60000e-03,
-1.6063601e-01,1.60000e-03,
-1.6061600e-01,8.00000e-04,
-1.6059600e-01,8.00000e-04,
-1.6057600e-01,8.00000e-04,
